Date,Sunrise,Sunset,Summer
2013-01-01,07:45:00,15:34:00,0
2013-01-02,07:45:00,15:35:00,0
2013-01-03,07:45:00,15:36:00,0
2013-01-04,07:45:00,15:37:00,0
2013-01-05,07:44:00,15:38:00,0
2013-01-06,07:44:00,15:39:00,0
2013-01-07,07:44:00,15:41:00,0
2013-01-08,07:43:00,15:42:00,0
2013-01-09,07:43:00,15:43:00,0
2013-01-10,07:42:00,15:45:00,0
2013-01-11,07:41:00,15:46:00,0
2013-01-12,07:41:00,15:48:00,0
2013-01-13,07:40:00,15:49:00,0
2013-01-14,07:39:00,15:51:00,0
2013-01-15,07:38:00,15:52:00,0
2013-01-16,07:37:00,15:54:00,0
2013-01-17,07:36:00,15:56:00,0
2013-01-18,07:35:00,15:57:00,0
2013-01-19,07:34:00,15:59:00,0
2013-01-20,07:33:00,16:01:00,0
2013-01-21,07:32:00,16:02:00,0
2013-01-22,07:31:00,16:04:00,0
2013-01-23,07:30:00,16:06:00,0
2013-01-24,07:28:00,16:07:00,0
2013-01-25,07:27:00,16:09:00,0
2013-01-26,07:26:00,16:11:00,0
2013-01-27,07:24:00,16:13:00,0
2013-01-28,07:23:00,16:15:00,0
2013-01-29,07:22:00,16:16:00,0
2013-01-30,07:20:00,16:18:00,0
2013-01-31,07:19:00,16:20:00,0
2013-02-01,07:17:00,16:22:00,0
2013-02-02,07:15:00,16:24:00,0
2013-02-03,07:14:00,16:26:00,0
2013-02-04,07:12:00,16:28:00,0
2013-02-05,07:10:00,16:30:00,0
2013-02-06,07:09:00,16:31:00,0
2013-02-07,07:07:00,16:33:00,0
2013-02-08,07:05:00,16:35:00,0
2013-02-09,07:03:00,16:37:00,0
2013-02-10,07:01:00,16:39:00,0
2013-02-11,07:00:00,16:41:00,0
2013-02-12,06:58:00,16:43:00,0
2013-02-13,06:56:00,16:45:00,0
2013-02-14,06:54:00,16:46:00,0
2013-02-15,06:52:00,16:48:00,0
2013-02-16,06:50:00,16:50:00,0
2013-02-17,06:48:00,16:52:00,0
2013-02-18,06:46:00,16:54:00,0
2013-02-19,06:44:00,16:56:00,0
2013-02-20,06:42:00,16:58:00,0
2013-02-21,06:40:00,17:00:00,0
2013-02-22,06:38:00,17:01:00,0
2013-02-23,06:35:00,17:03:00,0
2013-02-24,06:33:00,17:05:00,0
2013-02-25,06:31:00,17:07:00,0
2013-02-26,06:29:00,17:09:00,0
2013-02-27,06:27:00,17:11:00,0
2013-02-28,06:25:00,17:12:00,0
2013-03-01,06:22:00,17:14:00,0
2013-03-02,06:20:00,17:16:00,0
2013-03-03,06:18:00,17:18:00,0
2013-03-04,06:16:00,17:20:00,0
2013-03-05,06:14:00,17:21:00,0
2013-03-06,06:11:00,17:23:00,0
2013-03-07,06:09:00,17:25:00,0
2013-03-08,06:07:00,17:27:00,0
2013-03-09,06:04:00,17:29:00,0
2013-03-10,06:02:00,17:30:00,0
2013-03-11,06:00:00,17:32:00,0
2013-03-12,05:58:00,17:34:00,0
2013-03-13,05:55:00,17:36:00,0
2013-03-14,05:53:00,17:38:00,0
2013-03-15,05:51:00,17:39:00,0
2013-03-16,05:48:00,17:41:00,0
2013-03-17,05:46:00,17:43:00,0
2013-03-18,05:44:00,17:45:00,0
2013-03-19,05:41:00,17:46:00,0
2013-03-20,05:39:00,17:48:00,0
2013-03-21,05:37:00,17:50:00,0
2013-03-22,05:34:00,17:52:00,0
2013-03-23,05:32:00,17:53:00,0
2013-03-24,05:30:00,17:55:00,0
2013-03-25,05:27:00,17:57:00,0
2013-03-26,05:25:00,17:58:00,0
2013-03-27,05:23:00,18:00:00,0
2013-03-28,05:20:00,18:02:00,0
2013-03-29,05:18:00,18:04:00,0
2013-03-30,05:16:00,18:05:00,0
2013-03-31,06:13:00,19:07:00,1
2013-04-01,06:11:00,19:09:00,1
2013-04-02,06:09:00,19:11:00,1
2013-04-03,06:06:00,19:12:00,1
2013-04-04,06:04:00,19:14:00,1
2013-04-05,06:02:00,19:16:00,1
2013-04-06,05:59:00,19:17:00,1
2013-04-07,05:57:00,19:19:00,1
2013-04-08,05:55:00,19:21:00,1
2013-04-09,05:53:00,19:23:00,1
2013-04-10,05:50:00,19:24:00,1
2013-04-11,05:48:00,19:26:00,1
2013-04-12,05:46:00,19:28:00,1
2013-04-13,05:44:00,19:30:00,1
2013-04-14,05:41:00,19:31:00,1
2013-04-15,05:39:00,19:33:00,1
2013-04-16,05:37:00,19:35:00,1
2013-04-17,05:35:00,19:36:00,1
2013-04-18,05:33:00,19:38:00,1
2013-04-19,05:30:00,19:40:00,1
2013-04-20,05:28:00,19:42:00,1
2013-04-21,05:26:00,19:43:00,1
2013-04-22,05:24:00,19:45:00,1
2013-04-23,05:22:00,19:47:00,1
2013-04-24,05:20:00,19:48:00,1
2013-04-25,05:18:00,19:50:00,1
2013-04-26,05:16:00,19:52:00,1
2013-04-27,05:14:00,19:54:00,1
2013-04-28,05:12:00,19:55:00,1
2013-04-29,05:10:00,19:57:00,1
2013-04-30,05:08:00,19:59:00,1
2013-05-01,05:06:00,20:00:00,1
2013-05-02,05:04:00,20:02:00,1
2013-05-03,05:02:00,20:04:00,1
2013-05-04,05:00:00,20:05:00,1
2013-05-05,04:58:00,20:07:00,1
2013-05-06,04:56:00,20:09:00,1
2013-05-07,04:55:00,20:10:00,1
2013-05-08,04:53:00,20:12:00,1
2013-05-09,04:51:00,20:14:00,1
2013-05-10,04:49:00,20:15:00,1
2013-05-11,04:48:00,20:17:00,1
2013-05-12,04:46:00,20:19:00,1
2013-05-13,04:44:00,20:20:00,1
2013-05-14,04:43:00,20:22:00,1
2013-05-15,04:41:00,20:23:00,1
2013-05-16,04:40:00,20:25:00,1
2013-05-17,04:38:00,20:26:00,1
2013-05-18,04:37:00,20:28:00,1
2013-05-19,04:35:00,20:29:00,1
2013-05-20,04:34:00,20:31:00,1
2013-05-21,04:33:00,20:32:00,1
2013-05-22,04:31:00,20:34:00,1
2013-05-23,04:30:00,20:35:00,1
2013-05-24,04:29:00,20:37:00,1
2013-05-25,04:28:00,20:38:00,1
2013-05-26,04:27:00,20:39:00,1
2013-05-27,04:26:00,20:41:00,1
2013-05-28,04:24:00,20:42:00,1
2013-05-29,04:23:00,20:43:00,1
2013-05-30,04:23:00,20:44:00,1
2013-05-31,04:22:00,20:46:00,1
2013-06-01,04:21:00,20:47:00,1
2013-06-02,04:20:00,20:48:00,1
2013-06-03,04:19:00,20:49:00,1
2013-06-04,04:18:00,20:50:00,1
2013-06-05,04:18:00,20:51:00,1
2013-06-06,04:17:00,20:52:00,1
2013-06-07,04:17:00,20:53:00,1
2013-06-08,04:16:00,20:54:00,1
2013-06-09,04:16:00,20:55:00,1
2013-06-10,04:15:00,20:55:00,1
2013-06-11,04:15:00,20:56:00,1
2013-06-12,04:15:00,20:57:00,1
2013-06-13,04:14:00,20:58:00,1
2013-06-14,04:14:00,20:58:00,1
2013-06-15,04:14:00,20:59:00,1
2013-06-16,04:14:00,20:59:00,1
2013-06-17,04:14:00,21:00:00,1
2013-06-18,04:14:00,21:00:00,1
2013-06-19,04:14:00,21:00:00,1
2013-06-20,04:14:00,21:01:00,1
2013-06-21,04:14:00,21:01:00,1
2013-06-22,04:15:00,21:01:00,1
2013-06-23,04:15:00,21:01:00,1
2013-06-24,04:15:00,21:01:00,1
2013-06-25,04:16:00,21:01:00,1
2013-06-26,04:16:00,21:01:00,1
2013-06-27,04:17:00,21:01:00,1
2013-06-28,04:17:00,21:01:00,1
2013-06-29,04:18:00,21:01:00,1
2013-06-30,04:18:00,21:01:00,1
2013-07-01,04:19:00,21:01:00,1
2013-07-02,04:20:00,21:00:00,1
2013-07-03,04:20:00,21:00:00,1
2013-07-04,04:21:00,20:59:00,1
2013-07-05,04:22:00,20:59:00,1
2013-07-06,04:23:00,20:58:00,1
2013-07-07,04:24:00,20:58:00,1
2013-07-08,04:25:00,20:57:00,1
2013-07-09,04:26:00,20:56:00,1
2013-07-10,04:27:00,20:56:00,1
2013-07-11,04:28:00,20:55:00,1
2013-07-12,04:29:00,20:54:00,1
2013-07-13,04:30:00,20:53:00,1
2013-07-14,04:31:00,20:52:00,1
2013-07-15,04:33:00,20:51:00,1
2013-07-16,04:34:00,20:50:00,1
2013-07-17,04:35:00,20:49:00,1
2013-07-18,04:36:00,20:48:00,1
2013-07-19,04:38:00,20:47:00,1
2013-07-20,04:39:00,20:46:00,1
2013-07-21,04:40:00,20:44:00,1
2013-07-22,04:42:00,20:43:00,1
2013-07-23,04:43:00,20:42:00,1
2013-07-24,04:45:00,20:40:00,1
2013-07-25,04:46:00,20:39:00,1
2013-07-26,04:48:00,20:37:00,1
2013-07-27,04:49:00,20:36:00,1
2013-07-28,04:51:00,20:34:00,1
2013-07-29,04:52:00,20:33:00,1
2013-07-30,04:54:00,20:31:00,1
2013-07-31,04:55:00,20:30:00,1
2013-08-01,04:57:00,20:28:00,1
2013-08-02,04:58:00,20:26:00,1
2013-08-03,05:00:00,20:25:00,1
2013-08-04,05:01:00,20:23:00,1
2013-08-05,05:03:00,20:21:00,1
2013-08-06,05:05:00,20:19:00,1
2013-08-07,05:06:00,20:17:00,1
2013-08-08,05:08:00,20:16:00,1
2013-08-09,05:09:00,20:14:00,1
2013-08-10,05:11:00,20:12:00,1
2013-08-11,05:13:00,20:10:00,1
2013-08-12,05:14:00,20:08:00,1
2013-08-13,05:16:00,20:06:00,1
2013-08-14,05:17:00,20:04:00,1
2013-08-15,05:19:00,20:02:00,1
2013-08-16,05:21:00,20:00:00,1
2013-08-17,05:22:00,19:58:00,1
2013-08-18,05:24:00,19:56:00,1
2013-08-19,05:26:00,19:54:00,1
2013-08-20,05:27:00,19:52:00,1
2013-08-21,05:29:00,19:49:00,1
2013-08-22,05:31:00,19:47:00,1
2013-08-23,05:32:00,19:45:00,1
2013-08-24,05:34:00,19:43:00,1
2013-08-25,05:36:00,19:41:00,1
2013-08-26,05:37:00,19:39:00,1
2013-08-27,05:39:00,19:36:00,1
2013-08-28,05:40:00,19:34:00,1
2013-08-29,05:42:00,19:32:00,1
2013-08-30,05:44:00,19:30:00,1
2013-08-31,05:45:00,19:27:00,1
2013-09-01,05:47:00,19:25:00,1
2013-09-02,05:49:00,19:23:00,1
2013-09-03,05:50:00,19:20:00,1
2013-09-04,05:52:00,19:18:00,1
2013-09-05,05:54:00,19:16:00,1
2013-09-06,05:55:00,19:14:00,1
2013-09-07,05:57:00,19:11:00,1
2013-09-08,05:59:00,19:09:00,1
2013-09-09,06:00:00,19:07:00,1
2013-09-10,06:02:00,19:04:00,1
2013-09-11,06:03:00,19:02:00,1
2013-09-12,06:05:00,19:00:00,1
2013-09-13,06:07:00,18:57:00,1
2013-09-14,06:08:00,18:55:00,1
2013-09-15,06:10:00,18:52:00,1
2013-09-16,06:12:00,18:50:00,1
2013-09-17,06:13:00,18:48:00,1
2013-09-18,06:15:00,18:45:00,1
2013-09-19,06:17:00,18:43:00,1
2013-09-20,06:18:00,18:41:00,1
2013-09-21,06:20:00,18:38:00,1
2013-09-22,06:22:00,18:36:00,1
2013-09-23,06:23:00,18:34:00,1
2013-09-24,06:25:00,18:31:00,1
2013-09-25,06:27:00,18:29:00,1
2013-09-26,06:28:00,18:27:00,1
2013-09-27,06:30:00,18:24:00,1
2013-09-28,06:32:00,18:22:00,1
2013-09-29,06:33:00,18:19:00,1
2013-09-30,06:35:00,18:17:00,1
2013-10-01,06:37:00,18:15:00,1
2013-10-02,06:38:00,18:12:00,1
2013-10-03,06:40:00,18:10:00,1
2013-10-04,06:42:00,18:08:00,1
2013-10-05,06:43:00,18:06:00,1
2013-10-06,06:45:00,18:03:00,1
2013-10-07,06:47:00,18:01:00,1
2013-10-08,06:49:00,17:59:00,1
2013-10-09,06:50:00,17:56:00,1
2013-10-10,06:52:00,17:54:00,1
2013-10-11,06:54:00,17:52:00,1
2013-10-12,06:55:00,17:50:00,1
2013-10-13,06:57:00,17:47:00,1
2013-10-14,06:59:00,17:45:00,1
2013-10-15,07:01:00,17:43:00,1
2013-10-16,07:02:00,17:41:00,1
2013-10-17,07:04:00,17:39:00,1
2013-10-18,07:06:00,17:36:00,1
2013-10-19,07:08:00,17:34:00,1
2013-10-20,07:09:00,17:32:00,1
2013-10-21,07:11:00,17:30:00,1
2013-10-22,07:13:00,17:28:00,1
2013-10-23,07:15:00,17:26:00,1
2013-10-24,07:17:00,17:24:00,1
2013-10-25,07:18:00,17:22:00,1
2013-10-26,07:20:00,17:20:00,1
2013-10-27,06:22:00,16:18:00,0
2013-10-28,06:24:00,16:16:00,0
2013-10-29,06:26:00,16:14:00,0
2013-10-30,06:27:00,16:12:00,0
2013-10-31,06:29:00,16:10:00,0
2013-11-01,06:31:00,16:08:00,0
2013-11-02,06:33:00,16:06:00,0
2013-11-03,06:35:00,16:04:00,0
2013-11-04,06:37:00,16:03:00,0
2013-11-05,06:38:00,16:01:00,0
2013-11-06,06:40:00,15:59:00,0
2013-11-07,06:42:00,15:57:00,0
2013-11-08,06:44:00,15:56:00,0
2013-11-09,06:46:00,15:54:00,0
2013-11-10,06:47:00,15:52:00,0
2013-11-11,06:49:00,15:51:00,0
2013-11-12,06:51:00,15:49:00,0
2013-11-13,06:53:00,15:48:00,0
2013-11-14,06:55:00,15:46:00,0
2013-11-15,06:56:00,15:45:00,0
2013-11-16,06:58:00,15:43:00,0
2013-11-17,07:00:00,15:42:00,0
2013-11-18,07:02:00,15:41:00,0
2013-11-19,07:03:00,15:39:00,0
2013-11-20,07:05:00,15:38:00,0
2013-11-21,07:07:00,15:37:00,0
2013-11-22,07:08:00,15:36:00,0
2013-11-23,07:10:00,15:35:00,0
2013-11-24,07:12:00,15:34:00,0
2013-11-25,07:13:00,15:33:00,0
2013-11-26,07:15:00,15:32:00,0
2013-11-27,07:16:00,15:31:00,0
2013-11-28,07:18:00,15:30:00,0
2013-11-29,07:19:00,15:29:00,0
2013-11-30,07:21:00,15:28:00,0
2013-12-01,07:22:00,15:27:00,0
2013-12-02,07:24:00,15:27:00,0
2013-12-03,07:25:00,15:26:00,0
2013-12-04,07:26:00,15:26:00,0
2013-12-05,07:28:00,15:25:00,0
2013-12-06,07:29:00,15:25:00,0
2013-12-07,07:30:00,15:24:00,0
2013-12-08,07:32:00,15:24:00,0
2013-12-09,07:33:00,15:24:00,0
2013-12-10,07:34:00,15:23:00,0
2013-12-11,07:35:00,15:23:00,0
2013-12-12,07:36:00,15:23:00,0
2013-12-13,07:37:00,15:23:00,0
2013-12-14,07:38:00,15:23:00,0
2013-12-15,07:39:00,15:23:00,0
2013-12-16,07:39:00,15:23:00,0
2013-12-17,07:40:00,15:24:00,0
2013-12-18,07:41:00,15:24:00,0
2013-12-19,07:42:00,15:24:00,0
2013-12-20,07:42:00,15:24:00,0
2013-12-21,07:43:00,15:25:00,0
2013-12-22,07:43:00,15:25:00,0
2013-12-23,07:44:00,15:26:00,0
2013-12-24,07:44:00,15:27:00,0
2013-12-25,07:45:00,15:27:00,0
2013-12-26,07:45:00,15:28:00,0
2013-12-27,07:45:00,15:29:00,0
2013-12-28,07:45:00,15:29:00,0
2013-12-29,07:45:00,15:30:00,0
2013-12-30,07:45:00,15:31:00,0
2013-12-31,07:45:00,15:32:00,0
