mpg,cyl,displ,hp,weight,accel,origin,year,mfr
18.0,8,307.0,130,3504,12.0,North America,70,chevrolet
15.0,8,350.0,165,3693,11.5,North America,70,buick
18.0,8,318.0,150,3436,11.0,North America,70,plymouth
16.0,8,304.0,150,3433,12.0,North America,70,amc
17.0,8,302.0,140,3449,10.5,North America,70,ford
15.0,8,429.0,198,4341,10.0,North America,70,ford
14.0,8,454.0,220,4354,9.0,North America,70,chevrolet
14.0,8,440.0,215,4312,8.5,North America,70,plymouth
14.0,8,455.0,225,4425,10.0,North America,70,pontiac
15.0,8,390.0,190,3850,8.5,North America,70,amc
15.0,8,383.0,170,3563,10.0,North America,70,dodge
14.0,8,340.0,160,3609,8.0,North America,70,plymouth
15.0,8,400.0,150,3761,9.5,North America,70,chevrolet
14.0,8,455.0,225,3086,10.0,North America,70,buick
24.0,4,113.0,95,2372,15.0,Asia,70,toyota
22.0,6,198.0,95,2833,15.5,North America,70,plymouth
18.0,6,199.0,97,2774,15.5,North America,70,amc
21.0,6,200.0,85,2587,16.0,North America,70,ford
27.0,4,97.0,88,2130,14.5,Asia,70,datsun
26.0,4,97.0,46,1835,20.5,Europe,70,volkswagen
25.0,4,110.0,87,2672,17.5,Europe,70,peugeot
24.0,4,107.0,90,2430,14.5,Europe,70,audi
25.0,4,104.0,95,2375,17.5,Europe,70,saab
26.0,4,121.0,113,2234,12.5,Europe,70,bmw
21.0,6,199.0,90,2648,15.0,North America,70,amc
10.0,8,360.0,215,4615,14.0,North America,70,ford
10.0,8,307.0,200,4376,15.0,North America,70,chevrolet
11.0,8,318.0,210,4382,13.5,North America,70,dodge
9.0,8,304.0,193,4732,18.5,North America,70,hi
27.0,4,97.0,88,2130,14.5,Asia,71,datsun
28.0,4,140.0,90,2264,15.5,North America,71,chevrolet
25.0,4,113.0,95,2228,14.0,Asia,71,toyota
19.0,6,232.0,100,2634,13.0,North America,71,amc
16.0,6,225.0,105,3439,15.5,North America,71,plymouth
17.0,6,250.0,100,3329,15.5,North America,71,chevrolet
19.0,6,250.0,88,3302,15.5,North America,71,ford
18.0,6,232.0,100,3288,15.5,North America,71,amc
14.0,8,350.0,165,4209,12.0,North America,71,chevrolet
14.0,8,400.0,175,4464,11.5,North America,71,pontiac
14.0,8,351.0,153,4154,13.5,North America,71,ford
14.0,8,318.0,150,4096,13.0,North America,71,plymouth
12.0,8,383.0,180,4955,11.5,North America,71,dodge
13.0,8,400.0,170,4746,12.0,North America,71,ford
13.0,8,400.0,175,5140,12.0,North America,71,pontiac
18.0,6,258.0,110,2962,13.5,North America,71,amc
22.0,4,140.0,72,2408,19.0,North America,71,chevrolet
19.0,6,250.0,100,3282,15.0,North America,71,pontiac
18.0,6,250.0,88,3139,14.5,North America,71,ford
23.0,4,122.0,86,2220,14.0,North America,71,mercury
28.0,4,116.0,90,2123,14.0,Europe,71,opel
30.0,4,79.0,70,2074,19.5,Europe,71,peugeot
30.0,4,88.0,76,2065,14.5,Europe,71,fiat
31.0,4,71.0,65,1773,19.0,Asia,71,toyota
35.0,4,72.0,69,1613,18.0,Asia,71,datsun
27.0,4,97.0,60,1834,19.0,Europe,71,volkswagen
26.0,4,91.0,70,1955,20.5,North America,71,plymouth
24.0,4,113.0,95,2278,15.5,Asia,72,toyota
25.0,4,97.5,80,2126,17.0,North America,72,dodge
23.0,4,97.0,54,2254,23.5,Europe,72,volkswagen
20.0,4,140.0,90,2408,19.5,North America,72,chevrolet
21.0,4,122.0,86,2226,16.5,North America,72,ford
13.0,8,350.0,165,4274,12.0,North America,72,chevrolet
14.0,8,400.0,175,4385,12.0,North America,72,pontiac
15.0,8,318.0,150,4135,13.5,North America,72,plymouth
14.0,8,351.0,153,4129,13.0,North America,72,ford
17.0,8,304.0,150,3672,11.5,North America,72,amc
11.0,8,429.0,208,4633,11.0,North America,72,mercury
13.0,8,350.0,155,4502,13.5,North America,72,buick
12.0,8,350.0,160,4456,13.5,North America,72,oldsmobile
13.0,8,400.0,190,4422,12.5,North America,72,chrysler
19.0,3,70.0,97,2330,13.5,Asia,72,mazda
15.0,8,304.0,150,3892,12.5,North America,72,amc
13.0,8,307.0,130,4098,14.0,North America,72,chevrolet
13.0,8,302.0,140,4294,16.0,North America,72,ford
14.0,8,318.0,150,4077,14.0,North America,72,plymouth
18.0,4,121.0,112,2933,14.5,Europe,72,volvo
22.0,4,121.0,76,2511,18.0,Europe,72,volkswagen
21.0,4,120.0,87,2979,19.5,Europe,72,peugeot
26.0,4,96.0,69,2189,18.0,Europe,72,renault
22.0,4,122.0,86,2395,16.0,North America,72,ford
28.0,4,97.0,92,2288,17.0,Asia,72,datsun
23.0,4,120.0,97,2506,14.5,Asia,72,toyota
28.0,4,98.0,80,2164,15.0,North America,72,dodge
27.0,4,97.0,88,2100,16.5,Asia,72,toyota
13.0,8,350.0,175,4100,13.0,North America,73,buick
14.0,8,304.0,150,3672,11.5,North America,73,amc
13.0,8,350.0,145,3988,13.0,North America,73,chevrolet
14.0,8,302.0,137,4042,14.5,North America,73,ford
15.0,8,318.0,150,3777,12.5,North America,73,dodge
12.0,8,429.0,198,4952,11.5,North America,73,mercury
13.0,8,400.0,150,4464,12.0,North America,73,chevrolet
13.0,8,351.0,158,4363,13.0,North America,73,ford
14.0,8,318.0,150,4237,14.5,North America,73,plymouth
13.0,8,440.0,215,4735,11.0,North America,73,chrysler
12.0,8,455.0,225,4951,11.0,North America,73,buick
13.0,8,360.0,175,3821,11.0,North America,73,amc
18.0,6,225.0,105,3121,16.5,North America,73,plymouth
16.0,6,250.0,100,3278,18.0,North America,73,chevrolet
18.0,6,232.0,100,2945,16.0,North America,73,amc
18.0,6,250.0,88,3021,16.5,North America,73,ford
23.0,6,198.0,95,2904,16.0,North America,73,plymouth
26.0,4,97.0,46,1950,21.0,Europe,73,volkswagen
11.0,8,400.0,150,4997,14.0,North America,73,chevrolet
12.0,8,400.0,167,4906,12.5,North America,73,ford
13.0,8,360.0,170,4654,13.0,North America,73,plymouth
12.0,8,350.0,180,4499,12.5,North America,73,oldsmobile
18.0,6,232.0,100,2789,15.0,North America,73,amc
20.0,4,97.0,88,2279,19.0,Asia,73,toyota
21.0,4,140.0,72,2401,19.5,North America,73,chevrolet
22.0,4,108.0,94,2379,16.5,Asia,73,datsun
18.0,3,70.0,90,2124,13.5,Asia,73,mazda
19.0,4,122.0,85,2310,18.5,North America,73,ford
21.0,6,155.0,107,2472,14.0,North America,73,mercury
26.0,4,98.0,90,2265,15.5,Europe,73,fiat
15.0,8,350.0,145,4082,13.0,North America,73,chevrolet
16.0,8,400.0,230,4278,9.5,North America,73,pontiac
29.0,4,68.0,49,1867,19.5,Europe,73,fiat
24.0,4,116.0,75,2158,15.5,Europe,73,opel
20.0,4,114.0,91,2582,14.0,Europe,73,audi
19.0,4,121.0,112,2868,15.5,Europe,73,volvo
15.0,8,318.0,150,3399,11.0,North America,73,dodge
24.0,4,121.0,110,2660,14.0,Europe,73,saab
20.0,6,156.0,122,2807,13.5,Asia,73,toyota
11.0,8,350.0,180,3664,11.0,North America,73,oldsmobile
20.0,6,198.0,95,3102,16.5,North America,74,plymouth
19.0,6,232.0,100,2901,16.0,North America,74,amc
15.0,6,250.0,100,3336,17.0,North America,74,chevrolet
31.0,4,79.0,67,1950,19.0,Asia,74,datsun
26.0,4,122.0,80,2451,16.5,North America,74,ford
32.0,4,71.0,65,1836,21.0,Asia,74,toyota
25.0,4,140.0,75,2542,17.0,North America,74,chevrolet
16.0,6,250.0,100,3781,17.0,North America,74,chevrolet
16.0,6,258.0,110,3632,18.0,North America,74,amc
18.0,6,225.0,105,3613,16.5,North America,74,plymouth
16.0,8,302.0,140,4141,14.0,North America,74,ford
13.0,8,350.0,150,4699,14.5,North America,74,buick
14.0,8,318.0,150,4457,13.5,North America,74,dodge
14.0,8,302.0,140,4638,16.0,North America,74,ford
14.0,8,304.0,150,4257,15.5,North America,74,amc
29.0,4,98.0,83,2219,16.5,Europe,74,audi
26.0,4,79.0,67,1963,15.5,Europe,74,volkswagen
26.0,4,97.0,78,2300,14.5,Europe,74,opel
31.0,4,76.0,52,1649,16.5,Asia,74,toyota
32.0,4,83.0,61,2003,19.0,Asia,74,datsun
28.0,4,90.0,75,2125,14.5,North America,74,dodge
24.0,4,90.0,75,2108,15.5,Europe,74,fiat
26.0,4,116.0,75,2246,14.0,Europe,74,fiat
24.0,4,120.0,97,2489,15.0,Asia,74,honda
26.0,4,108.0,93,2391,15.5,Asia,74,subaru
31.0,4,79.0,67,2000,16.0,Europe,74,fiat
19.0,6,225.0,95,3264,16.0,North America,75,plymouth
18.0,6,250.0,105,3459,16.0,North America,75,chevrolet
15.0,6,250.0,72,3432,21.0,North America,75,mercury
15.0,6,250.0,72,3158,19.5,North America,75,ford
16.0,8,400.0,170,4668,11.5,North America,75,pontiac
15.0,8,350.0,145,4440,14.0,North America,75,chevrolet
16.0,8,318.0,150,4498,14.5,North America,75,plymouth
14.0,8,351.0,148,4657,13.5,North America,75,ford
17.0,6,231.0,110,3907,21.0,North America,75,buick
16.0,6,250.0,105,3897,18.5,North America,75,chevrolet
15.0,6,258.0,110,3730,19.0,North America,75,amc
18.0,6,225.0,95,3785,19.0,North America,75,plymouth
21.0,6,231.0,110,3039,15.0,North America,75,buick
20.0,8,262.0,110,3221,13.5,North America,75,chevrolet
13.0,8,302.0,129,3169,12.0,North America,75,ford
29.0,4,97.0,75,2171,16.0,Asia,75,toyota
23.0,4,140.0,83,2639,17.0,North America,75,ford
20.0,6,232.0,100,2914,16.0,North America,75,amc
23.0,4,140.0,78,2592,18.5,North America,75,pontiac
24.0,4,134.0,96,2702,13.5,Asia,75,toyota
25.0,4,90.0,71,2223,16.5,Europe,75,volkswagen
24.0,4,119.0,97,2545,17.0,Asia,75,datsun
18.0,6,171.0,97,2984,14.5,North America,75,ford
29.0,4,90.0,70,1937,14.0,Europe,75,volkswagen
19.0,6,232.0,90,3211,17.0,North America,75,amc
23.0,4,115.0,95,2694,15.0,Europe,75,audi
23.0,4,120.0,88,2957,17.0,Europe,75,peugeot
22.0,4,121.0,98,2945,14.5,Europe,75,volvo
25.0,4,121.0,115,2671,13.5,Europe,75,saab
33.0,4,91.0,53,1795,17.5,Asia,75,honda
28.0,4,107.0,86,2464,15.5,Europe,76,fiat
25.0,4,116.0,81,2220,16.9,Europe,76,opel
25.0,4,140.0,92,2572,14.9,North America,76,capri
26.0,4,98.0,79,2255,17.7,North America,76,dodge
27.0,4,101.0,83,2202,15.3,Europe,76,renault
17.5,8,305.0,140,4215,13.0,North America,76,chevrolet
16.0,8,318.0,150,4190,13.0,North America,76,dodge
15.5,8,304.0,120,3962,13.9,North America,76,amc
14.5,8,351.0,152,4215,12.8,North America,76,ford
22.0,6,225.0,100,3233,15.4,North America,76,plymouth
22.0,6,250.0,105,3353,14.5,North America,76,chevrolet
24.0,6,200.0,81,3012,17.6,North America,76,ford
22.5,6,232.0,90,3085,17.6,North America,76,amc
29.0,4,85.0,52,2035,22.2,North America,76,chevrolet
24.5,4,98.0,60,2164,22.1,North America,76,chevrolet
29.0,4,90.0,70,1937,14.2,Europe,76,volkswagen
33.0,4,91.0,53,1795,17.4,Asia,76,honda
20.0,6,225.0,100,3651,17.7,North America,76,dodge
18.0,6,250.0,78,3574,21.0,North America,76,ford
18.5,6,250.0,110,3645,16.2,North America,76,pontiac
17.5,6,258.0,95,3193,17.8,North America,76,amc
29.5,4,97.0,71,1825,12.2,Europe,76,volkswagen
32.0,4,85.0,70,1990,17.0,Asia,76,datsun
28.0,4,97.0,75,2155,16.4,Asia,76,toyota
26.5,4,140.0,72,2565,13.6,North America,76,ford
20.0,4,130.0,102,3150,15.7,Europe,76,volvo
13.0,8,318.0,150,3940,13.2,North America,76,plymouth
19.0,4,120.0,88,3270,21.9,Europe,76,peugeot
19.0,6,156.0,108,2930,15.5,Asia,76,toyota
16.5,6,168.0,120,3820,16.7,Europe,76,mercedes
16.5,8,350.0,180,4380,12.1,North America,76,cadillac
13.0,8,350.0,145,4055,12.0,North America,76,chevrolet
13.0,8,302.0,130,3870,15.0,North America,76,ford
13.0,8,318.0,150,3755,14.0,North America,76,dodge
31.5,4,98.0,68,2045,18.5,Asia,77,honda
30.0,4,111.0,80,2155,14.8,North America,77,buick
36.0,4,79.0,58,1825,18.6,Europe,77,renault
25.5,4,122.0,96,2300,15.5,North America,77,plymouth
33.5,4,85.0,70,1945,16.8,Asia,77,datsun
17.5,8,305.0,145,3880,12.5,North America,77,chevrolet
17.0,8,260.0,110,4060,19.0,North America,77,oldsmobile
15.5,8,318.0,145,4140,13.7,North America,77,dodge
15.0,8,302.0,130,4295,14.9,North America,77,mercury
17.5,6,250.0,110,3520,16.4,North America,77,chevrolet
20.5,6,231.0,105,3425,16.9,North America,77,buick
19.0,6,225.0,100,3630,17.7,North America,77,plymouth
18.5,6,250.0,98,3525,19.0,North America,77,ford
16.0,8,400.0,180,4220,11.1,North America,77,pontiac
15.5,8,350.0,170,4165,11.4,North America,77,chevrolet
15.5,8,400.0,190,4325,12.2,North America,77,chrysler
16.0,8,351.0,149,4335,14.5,North America,77,ford
29.0,4,97.0,78,1940,14.5,Europe,77,volkswagen
24.5,4,151.0,88,2740,16.0,North America,77,pontiac
26.0,4,97.0,75,2265,18.2,Asia,77,toyota
25.5,4,140.0,89,2755,15.8,North America,77,ford
30.5,4,98.0,63,2051,17.0,North America,77,chevrolet
33.5,4,98.0,83,2075,15.9,North America,77,dodge
30.0,4,97.0,67,1985,16.4,Asia,77,subaru
30.5,4,97.0,78,2190,14.1,Europe,77,volkswagen
22.0,6,146.0,97,2815,14.5,Asia,77,datsun
21.5,4,121.0,110,2600,12.8,Europe,77,bmw
21.5,3,80.0,110,2720,13.5,Asia,77,mazda
43.1,4,90.0,48,1985,21.5,Europe,78,volkswagen
36.1,4,98.0,66,1800,14.4,North America,78,ford
32.8,4,78.0,52,1985,19.4,Asia,78,mazda
39.4,4,85.0,70,2070,18.6,Asia,78,datsun
36.1,4,91.0,60,1800,16.4,Asia,78,honda
19.9,8,260.0,110,3365,15.5,North America,78,oldsmobile
19.4,8,318.0,140,3735,13.2,North America,78,dodge
20.2,8,302.0,139,3570,12.8,North America,78,mercury
19.2,6,231.0,105,3535,19.2,North America,78,pontiac
20.5,6,200.0,95,3155,18.2,North America,78,chevrolet
20.2,6,200.0,85,2965,15.8,North America,78,ford
25.1,4,140.0,88,2720,15.4,North America,78,ford
20.5,6,225.0,100,3430,17.2,North America,78,plymouth
19.4,6,232.0,90,3210,17.2,North America,78,amc
20.6,6,231.0,105,3380,15.8,North America,78,buick
20.8,6,200.0,85,3070,16.7,North America,78,mercury
18.6,6,225.0,110,3620,18.7,North America,78,dodge
18.1,6,258.0,120,3410,15.1,North America,78,amc
19.2,8,305.0,145,3425,13.2,North America,78,chevrolet
17.7,6,231.0,165,3445,13.4,North America,78,buick
18.1,8,302.0,139,3205,11.2,North America,78,ford
17.5,8,318.0,140,4080,13.7,North America,78,dodge
30.0,4,98.0,68,2155,16.5,North America,78,chevrolet
27.5,4,134.0,95,2560,14.2,Asia,78,toyota
27.2,4,119.0,97,2300,14.7,Asia,78,datsun
30.9,4,105.0,75,2230,14.5,North America,78,dodge
21.1,4,134.0,95,2515,14.8,Asia,78,toyota
23.2,4,156.0,105,2745,16.7,North America,78,plymouth
23.8,4,151.0,85,2855,17.6,North America,78,oldsmobile
23.9,4,119.0,97,2405,14.9,Asia,78,datsun
20.3,5,131.0,103,2830,15.9,Europe,78,audi
17.0,6,163.0,125,3140,13.6,Europe,78,volvo
21.6,4,121.0,115,2795,15.7,Europe,78,saab
16.2,6,163.0,133,3410,15.8,Europe,78,peugeot
31.5,4,89.0,71,1990,14.9,Europe,78,volkswagen
29.5,4,98.0,68,2135,16.6,Asia,78,honda
21.5,6,231.0,115,3245,15.4,North America,79,pontiac
19.8,6,200.0,85,2990,18.2,North America,79,mercury
22.3,4,140.0,88,2890,17.3,North America,79,ford
20.2,6,232.0,90,3265,18.2,North America,79,amc
20.6,6,225.0,110,3360,16.6,North America,79,dodge
17.0,8,305.0,130,3840,15.4,North America,79,chevrolet
17.6,8,302.0,129,3725,13.4,North America,79,ford
16.5,8,351.0,138,3955,13.2,North America,79,mercury
18.2,8,318.0,135,3830,15.2,North America,79,dodge
16.9,8,350.0,155,4360,14.9,North America,79,buick
15.5,8,351.0,142,4054,14.3,North America,79,ford
19.2,8,267.0,125,3605,15.0,North America,79,chevrolet
18.5,8,360.0,150,3940,13.0,North America,79,chrysler
31.9,4,89.0,71,1925,14.0,Europe,79,volkswagen
34.1,4,86.0,65,1975,15.2,Asia,79,mazda
35.7,4,98.0,80,1915,14.4,North America,79,dodge
27.4,4,121.0,80,2670,15.0,North America,79,amc
25.4,5,183.0,77,3530,20.1,Europe,79,mercedes
23.0,8,350.0,125,3900,17.4,North America,79,cadillac
27.2,4,141.0,71,3190,24.8,Europe,79,peugeot
23.9,8,260.0,90,3420,22.2,North America,79,oldsmobile
34.2,4,105.0,70,2200,13.2,North America,79,plymouth
34.5,4,105.0,70,2150,14.9,North America,79,plymouth
31.8,4,85.0,65,2020,19.2,Asia,79,datsun
37.3,4,91.0,69,2130,14.7,Europe,79,fiat
28.4,4,151.0,90,2670,16.0,North America,79,buick
28.8,6,173.0,115,2595,11.3,North America,79,chevrolet
26.8,6,173.0,115,2700,12.9,North America,79,oldsmobile
33.5,4,151.0,90,2556,13.2,North America,79,pontiac
41.5,4,98.0,76,2144,14.7,Europe,80,volkswagen
38.1,4,89.0,60,1968,18.8,Asia,80,toyota
32.1,4,98.0,70,2120,15.5,North America,80,chevrolet
37.2,4,86.0,65,2019,16.4,Asia,80,datsun
28.0,4,151.0,90,2678,16.5,North America,80,chevrolet
26.4,4,140.0,88,2870,18.1,North America,80,ford
24.3,4,151.0,90,3003,20.1,North America,80,amc
19.1,6,225.0,90,3381,18.7,North America,80,dodge
34.3,4,97.0,78,2188,15.8,Europe,80,audi
29.8,4,134.0,90,2711,15.5,Asia,80,toyota
31.3,4,120.0,75,2542,17.5,Asia,80,mazda
37.0,4,119.0,92,2434,15.0,Asia,80,datsun
32.2,4,108.0,75,2265,15.2,Asia,80,toyota
46.6,4,86.0,65,2110,17.9,Asia,80,mazda
27.9,4,156.0,105,2800,14.4,North America,80,dodge
40.8,4,85.0,65,2110,19.2,Asia,80,datsun
44.3,4,90.0,48,2085,21.7,Europe,80,volkswagen
43.4,4,90.0,48,2335,23.7,Europe,80,volkswagen
36.4,5,121.0,67,2950,19.9,Europe,80,audi
30.0,4,146.0,67,3250,21.8,Europe,80,mercedes
44.6,4,91.0,67,1850,13.8,Asia,80,honda
33.8,4,97.0,67,2145,18.0,Asia,80,subaru
29.8,4,89.0,62,1845,15.3,Europe,80,volkswagen
32.7,6,168.0,132,2910,11.4,Asia,80,datsun
23.7,3,70.0,100,2420,12.5,Asia,80,mazda
35.0,4,122.0,88,2500,15.1,Europe,80,triumph
32.4,4,107.0,72,2290,17.0,Asia,80,honda
27.2,4,135.0,84,2490,15.7,North America,81,plymouth
26.6,4,151.0,84,2635,16.4,North America,81,buick
25.8,4,156.0,92,2620,14.4,North America,81,dodge
23.5,6,173.0,110,2725,12.6,North America,81,chevrolet
30.0,4,135.0,84,2385,12.9,North America,81,plymouth
39.1,4,79.0,58,1755,16.9,Asia,81,toyota
39.0,4,86.0,64,1875,16.4,North America,81,plymouth
35.1,4,81.0,60,1760,16.1,Asia,81,honda
32.3,4,97.0,67,2065,17.8,Asia,81,subaru
37.0,4,85.0,65,1975,19.4,Asia,81,datsun
37.7,4,89.0,62,2050,17.3,Asia,81,toyota
34.1,4,91.0,68,1985,16.0,Asia,81,mazda
34.7,4,105.0,63,2215,14.9,North America,81,plymouth
34.4,4,98.0,65,2045,16.2,North America,81,ford
29.9,4,98.0,65,2380,20.7,North America,81,ford
33.0,4,105.0,74,2190,14.2,Europe,81,volkswagen
33.7,4,107.0,75,2210,14.4,Asia,81,honda
32.4,4,108.0,75,2350,16.8,Asia,81,toyota
32.9,4,119.0,100,2615,14.8,Asia,81,datsun
31.6,4,120.0,74,2635,18.3,Asia,81,mazda
28.1,4,141.0,80,3230,20.4,Europe,81,peugeot
30.7,6,145.0,76,3160,19.6,Europe,81,volvo
25.4,6,168.0,116,2900,12.6,Asia,81,toyota
24.2,6,146.0,120,2930,13.8,Asia,81,datsun
22.4,6,231.0,110,3415,15.8,North America,81,buick
26.6,8,350.0,105,3725,19.0,North America,81,oldsmobile
20.2,6,200.0,88,3060,17.1,North America,81,ford
17.6,6,225.0,85,3465,16.6,North America,81,chrysler
28.0,4,112.0,88,2605,19.6,North America,82,chevrolet
27.0,4,112.0,88,2640,18.6,North America,82,chevrolet
34.0,4,112.0,88,2395,18.0,North America,82,chevrolet
31.0,4,112.0,85,2575,16.2,North America,82,pontiac
29.0,4,135.0,84,2525,16.0,North America,82,dodge
27.0,4,151.0,90,2735,18.0,North America,82,pontiac
24.0,4,140.0,92,2865,16.4,North America,82,ford
36.0,4,105.0,74,1980,15.3,Europe,82,volkswagen
37.0,4,91.0,68,2025,18.2,Asia,82,mazda
31.0,4,91.0,68,1970,17.6,Asia,82,mazda
38.0,4,105.0,63,2125,14.7,North America,82,plymouth
36.0,4,98.0,70,2125,17.3,North America,82,mercury
36.0,4,120.0,88,2160,14.5,Asia,82,nissan
36.0,4,107.0,75,2205,14.5,Asia,82,honda
34.0,4,108.0,70,2245,16.9,Asia,82,toyota
38.0,4,91.0,67,1965,15.0,Asia,82,honda
32.0,4,91.0,67,1965,15.7,Asia,82,honda
38.0,4,91.0,67,1995,16.2,Asia,82,datsun
25.0,6,181.0,110,2945,16.4,North America,82,buick
38.0,6,262.0,85,3015,17.0,North America,82,oldsmobile
26.0,4,156.0,92,2585,14.5,North America,82,chrysler
22.0,6,232.0,112,2835,14.7,North America,82,ford
32.0,4,144.0,96,2665,13.9,Asia,82,toyota
36.0,4,135.0,84,2370,13.0,North America,82,dodge
27.0,4,151.0,90,2950,17.3,North America,82,chevrolet
27.0,4,140.0,86,2790,15.6,North America,82,ford
44.0,4,97.0,52,2130,24.6,Europe,82,volkswagen
32.0,4,135.0,84,2295,11.6,North America,82,dodge
28.0,4,120.0,79,2625,18.6,North America,82,ford
31.0,4,119.0,82,2720,19.4,North America,82,chevrolet
