"STATION","NAME","DATE","TMAX","TMIN"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-01","36","15"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-02","39","18"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-03","32","15"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-04","27","15"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-05","40","21"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-06","34","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-07","34","32"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-08","32","24"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-09","24","-1"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-10","19","-4"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-11","35","17"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-12","35","10"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-13","47","23"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-14","52","33"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-15","37","18"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-16","34","6"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-17","8","-7"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-18","21","-6"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-19","23","18"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-20","29","20"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-21","28","21"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-22","27","21"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-23","29","21"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-24","37","18"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-25","30","26"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-26","33","22"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-27","41","19"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-28","44","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-29","50","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-30","53","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-01-31","50","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-01","42","27"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-02","35","26"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-03","26","12"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-04","28","12"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-05","34","14"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-06","38","20"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-07","42","33"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-08","33","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-09","29","17"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-10","42","22"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-11","28","16"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-12","28","14"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-13","20","13"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-14","43","17"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-15","48","24"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-16","43","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-17","55","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-18","72","38"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-19","68","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-20","59","32"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-21","54","30"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-22","45","36"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-23","50","27"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-24","45","25"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-25","36","24"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-26","55","23"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-27","76","34"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-28","58","34"
"USW00094996","LINCOLN 11 SW, NE US","2016-02-29","66","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-01","34","20"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-02","61","20"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-03","47","26"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-04","61","23"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-05","68","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-06","76","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-07","78","55"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-08","63","42"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-09","63","30"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-10","70","34"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-11","72","38"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-12","56","36"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-13","64","51"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-14","78","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-15","58","39"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-16","59","33"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-17","57","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-18","46","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-19","41","25"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-20","47","22"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-21","69","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-22","68","49"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-23","67","33"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-24","47","26"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-25","58","25"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-26","51","30"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-27","52","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-28","69","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-29","64","45"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-30","78","49"
"USW00094996","LINCOLN 11 SW, NE US","2016-03-31","56","39"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-01","43","27"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-02","61","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-03","84","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-04","60","39"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-05","77","42"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-06","63","42"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-07","60","37"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-08","59","30"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-09","63","24"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-10","66","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-11","55","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-12","67","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-13","76","43"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-14","75","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-15","79","51"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-16","72","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-17","67","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-18","60","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-19","60","47"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-20","59","50"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-21","69","51"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-22","67","41"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-23","81","47"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-24","81","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-25","74","47"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-26","72","52"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-27","62","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-28","52","45"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-29","48","43"
"USW00094996","LINCOLN 11 SW, NE US","2016-04-30","53","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-01","49","43"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-02","63","45"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-03","70","41"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-04","69","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-05","78","43"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-06","85","51"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-07","76","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-08","75","53"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-09","70","50"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-10","77","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-11","71","52"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-12","69","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-13","77","42"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-14","58","33"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-15","63","38"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-16","53","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-17","66","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-18","70","41"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-19","68","47"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-20","64","52"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-21","73","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-22","82","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-23","78","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-24","81","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-25","77","61"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-26","81","55"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-27","74","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-28","74","53"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-29","84","54"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-30","85","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-05-31","74","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-01","77","55"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-02","84","52"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-03","84","60"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-04","79","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-05","84","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-06","84","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-07","78","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-08","88","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-09","92","71"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-10","92","73"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-11","93","73"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-12","92","72"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-13","90","69"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-14","90","70"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-15","99","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-16","95","65"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-17",,
"USW00094996","LINCOLN 11 SW, NE US","2016-06-18","86","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-19","91","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-20","83","66"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-21","94","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-22","90","71"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-23","81","60"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-24","89","61"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-25","91","72"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-26","87","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-27","89","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-28","83","63"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-29","88","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-06-30","87","66"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-01","79","54"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-02","66","61"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-03","66","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-04","81","63"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-05","94","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-06","91","66"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-07","86","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-08","85","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-09","89","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-10","91","74"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-11","92","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-12","85","66"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-13","87","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-14","85","62"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-15","70","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-16","87","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-17","89","72"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-18","85","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-19","91","72"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-20","95","75"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-21","98","79"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-22","93","76"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-23","93","74"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-24","84","65"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-25","87","62"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-26","88","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-27","87","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-28","85","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-29","81","61"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-30","80","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-07-31","85","69"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-01","87","71"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-02","87","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-03","91","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-04","93","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-05","80","62"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-06","79","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-07","77","63"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-08","80","61"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-09","91","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-10","92","74"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-11","94","71"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-12","82","65"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-13","86","61"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-14","85","63"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-15","83","58"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-16","90","65"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-17","90","65"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-18","91","71"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-19","81","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-20","73","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-21","80","51"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-22","84","62"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-23","89","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-24","79","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-25","76","55"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-26","70","55"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-27","84","63"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-28","91","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-29","88","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-30","79","67"
"USW00094996","LINCOLN 11 SW, NE US","2016-08-31","80","59"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-01","79","53"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-02","77","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-03","75","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-04","84","64"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-05","90","73"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-06","91","75"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-07","87","69"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-08","83","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-09","84","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-10","74","51"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-11","81","54"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-12","80","62"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-13","63","54"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-14","66","53"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-15","84","62"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-16","79","58"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-17","82","54"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-18","86","57"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-19","83","58"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-20","94","55"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-21","91","74"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-22","91","73"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-23","90","66"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-24","80","68"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-25","72","51"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-26","76","45"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-27","80","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-28","67","45"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-29","69","41"
"USW00094996","LINCOLN 11 SW, NE US","2016-09-30","74","41"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-01","73","43"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-02","78","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-03","81","56"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-04","70","53"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-05","73","47"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-06","57","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-07","65","34"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-08","74","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-09","77","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-10","60","53"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-11","73","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-12","51","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-13","59","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-14","66","45"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-15","77","58"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-16","82","54"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-17","83","60"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-18","70","49"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-19","70","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-20","58","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-21","66","38"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-22","77","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-23","71","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-24","64","35"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-25","80","50"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-26","70","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-27","77","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-28","81","60"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-29","74","50"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-30","57","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-10-31","72","48"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-01","74","49"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-02","64","47"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-03","75","39"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-04","77","44"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-05","72","46"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-06","70","49"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-07","55","49"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-08","59","36"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-09","61","30"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-10","70","38"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-11","53","30"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-12","56","27"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-13","66","36"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-14","66","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-15","74","36"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-16","80","38"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-17","64","43"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-18","44","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-19","43","23"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-20","53","25"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-21","49","24"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-22","47","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-23","39","35"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-24","39","34"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-25","54","27"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-26","60","35"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-27","57","40"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-28","54","33"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-29","43","27"
"USW00094996","LINCOLN 11 SW, NE US","2016-11-30","36","27"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-01","41","23"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-02","44","20"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-03","33","22"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-04","36","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-05","52","31"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-06","35","20"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-07","25","14"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-08","25","9"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-09","23","4"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-10","33","15"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-11","32","11"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-12","42","9"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-13","22","6"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-14","25","8"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-15","26","4"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-16","26","21"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-17","21","-8"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-18","12","-13"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-19","30","6"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-20","46","21"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-21","50","28"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-22","46","18"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-23","39","26"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-24","42","13"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-25","60","34"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-26","38","25"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-27","48","23"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-28","47","29"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-29","45","25"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-30","49","21"
"USW00094996","LINCOLN 11 SW, NE US","2016-12-31","34","20"
